HE_AR_64	33.148	-117.251
HE_AR_67	32.736	-116.558
HE_AR_73	33.096	-116.589
HE_AR_76	33.098	-116.664
HE_AR_8	34.007	-118.367
HE_AR_71	33.039	-116.566
HE_AR_9	34.01	-118.363
HE_AR_79	33.113	-116.791
HE_AR_84	33.327	-116.966
HE_AR_7	34.276	-117.472
HE_AR_85	32.923	-117.256
HE_AR_90	38.874	-122.426
HE_AR_92	38.859	-122.411
HE_AR_95	38.825	-122.355
HE_AR_93	38.866	-122.402
HE_AR_97	37.952	-122.318
HE_AR_91	38.861	-122.412
HE_AR_98	37.959	-122.138
He_ar_Fri	34.066	-118.441
HE_AR_99	37.963	-122.132
